node,tipo,regional,cidade
ELP8,FM,SP CAP,Embu das Artes
ELP7,FM,SP INT,Campinas
ESA8,FM,SP CAP,Osasco
ESP8,FM,SP CAP,Guarulhos
EUA8,FM,SP CAP,Sao Bernardo do Campo
ESG8,FM,SP CAP,
EJU8,FM,SP CAP,
ESC8,FM,,
EMBU,FM,RIMES-NE,
ERJ1,FM,RIMES-NE,
SXPP,FM,,
PML9,FM,,
SBU9,FM,,
STU9,FM,,
SIO9,FM,,
PLS1,FM,SP INT,Lins
SRP9,FM,,
SSC9,FM,,
SUU9,FM,,
SFC9,FM,,
SOS9,FM,,
SSJ9,FM,,
SBT9,FM,,
PJB2,PN,,
PMT2,PN,,
PFE1,PN,,
DTL9,PN,,
DUU8,PN,,
XMX5,PN,,
DPB8,PN,,
DXX9,SPC,,
DMX9,SPC,,
DGD8,SPC,,
DMT7,SPC,,
DQR8,SPC,,
CGH7,HUB,SP CAP,Cajamar
CGH3,HUB,,
GIG7,HUB,RJ,Sao Joao de Meriti
TBAV,HUB,,
DBH5,HUB,,
CNF7,HUB,MG,
DPR2,HUB,,
RIDQ,HUB,,
TMOA,HUB,,
TRIO,HUB,,
IXNN,HUB,,
ZZEJ,HUB,,
ZUTD,HUB,,
YBN6,HUB,,
PTOP,HUB,,
MMIF,HUB,,
