tracking_id,status_event,status,reason,city,state,status_date,status_node_id,sender_id
TBR000000001,EVENT_503,XA,IT,,,2026-07-23 09:47,,TSS
TBR000000001,EVENT_101,XB,NS,,,2026-07-23 13:04,,SPSQueue
TBR000000001,EVENT_103,P0,CJ,Sao Paulo,,2026-07-24 14:20,ELP8,TSS
TBR000000001,EVENT_216,AR,N4,Embu das Artes,,2026-07-24 17:33,ELP8,TSS
TBR000000001,EVENT_201,X4,SC,Cajamar,SP,2026-07-25 07:02,CGH7,TransportationManagementService
TBR000000001,EVENT_202,L1,SC,Cajamar,SP,2026-07-25 14:56,CGH7,TransportationManagementService
TBR000000001,EVENT_301,D1,RN,Brasilia,,2026-07-27 15:33,DBS5,TSS
TBR000000002,EVENT_103,P0,N0,Osasco,,2026-07-24 10:00,ESA8,TSS
TBR000000002,EVENT_201,X4,SC,Osasco,SP,2026-07-24 22:00,ESA8,TransportationManagementService
TBR000000002,EVENT_202,L1,SC,Osasco,SP,2026-07-24 23:00,ESA8,TransportationManagementService
TBR000000002,EVENT_104,VM,RE,Rio de Janeiro,RJ,2026-07-25 03:00,,TEXBR
TBR000000003,EVENT_238,RP,NS,Guarulhos,SP,2026-07-29 18:22,ESP8,GMP_TransPETS
TBR000000003,EVENT_201,X4,SC,Guarulhos,SP,2026-07-29 22:39,ESP8,TransportationManagementService
TBR000000003,EVENT_202,L1,SC,Guarulhos,SP,2026-07-29 23:41,ESP8,TransportationManagementService
TBR000000003,EVENT_201,X4,SC,Embu das Artes,SP,2026-07-30 01:33,ELP8,TransportationManagementService
TBR000000003,EVENT_101,XB,NS,,,2026-07-30 02:30,,SPSQueue
